 ID,Date,Parameter/Paramètre,Value/Valeur,Symbol/Symbole
01ED003,1968-08-17,discharge/débit,49.6,
01ED003,1968-08-18,discharge/débit,47.3,
01ED003,1968-08-19,discharge/débit,61.2,
01ED003,1968-08-20,discharge/débit,62.6,
01ED003,1968-08-21,discharge/débit,63.1,
01ED003,1968-08-22,discharge/débit,55.5,
01ED003,1968-08-23,discharge/débit,66.8,
01ED003,1968-08-24,discharge/débit,55.8,
01ED003,1968-08-25,discharge/débit,58.0,
01ED003,1968-08-26,discharge/débit,58.0,
01ED003,1968-08-27,discharge/débit,66.5,
01ED003,1968-08-28,discharge/débit,55.2,
01ED003,1968-08-29,discharge/débit,69.1,
01ED003,1968-08-30,discharge/débit,61.4,
01ED003,1968-08-31,discharge/débit,56.4,
01ED003,1968-09-01,discharge/débit,50.1,
01ED003,1968-09-02,discharge/débit,20.6,
01ED003,1968-09-03,discharge/débit,47.3,
01ED003,1968-09-04,discharge/débit,49.0,
01ED003,1968-09-05,discharge/débit,50.7,
01ED003,1968-09-06,discharge/débit,55.8,
01ED003,1968-09-07,discharge/débit,73.9,
01ED003,1968-09-08,discharge/débit,48.7,
01ED003,1968-09-09,discharge/débit,52.4,
01ED003,1968-09-10,discharge/débit,46.4,
01ED003,1968-09-11,discharge/débit,39.1,
01ED003,1968-09-12,discharge/débit,53.2,
01ED003,1968-09-13,discharge/débit,41.1,
01ED003,1968-09-14,discharge/débit,53.5,
01ED003,1968-09-15,discharge/débit,35.4,
01ED003,1968-09-16,discharge/débit,45.9,
01ED003,1968-09-17,discharge/débit,52.4,
01ED003,1968-09-18,discharge/débit,66.8,
01ED003,1968-09-19,discharge/débit,49.3,
01ED003,1968-09-20,discharge/débit,53.2,
01ED003,1968-09-21,discharge/débit,35.1,
01ED003,1968-09-22,discharge/débit,32.3,
01ED003,1968-09-23,discharge/débit,39.6,
01ED003,1968-09-24,discharge/débit,43.9,
01ED003,1968-09-25,discharge/débit,39.9,
01ED003,1968-09-26,discharge/débit,27.5,
01ED003,1968-09-27,discharge/débit,42.8,
01ED003,1968-09-28,discharge/débit,38.5,
01ED003,1968-09-29,discharge/débit,34.8,
01ED003,1968-09-30,discharge/débit,43.6,
01ED003,1968-10-01,discharge/débit,42.2,
01ED003,1968-10-02,discharge/débit,33.7,
01ED003,1968-10-03,discharge/débit,47.6,
01ED003,1968-10-04,discharge/débit,58.9,
01ED003,1968-10-05,discharge/débit,30.6,
01ED003,1968-10-06,discharge/débit,37.1,
01ED003,1968-10-07,discharge/débit,51.0,
01ED003,1968-10-08,discharge/débit,52.4,
01ED003,1968-10-09,discharge/débit,35.7,
01ED003,1968-10-10,discharge/débit,61.4,
01ED003,1968-10-11,discharge/débit,32.6,
01ED003,1968-10-12,discharge/débit,37.7,
01ED003,1968-10-13,discharge/débit,32.3,
01ED003,1968-10-14,discharge/débit,35.4,
01ED003,1968-10-15,discharge/débit,49.8,
01ED003,1968-10-16,discharge/débit,40.2,
01ED003,1968-10-17,discharge/débit,28.6,
01ED003,1968-10-18,discharge/débit,38.2,
01ED003,1968-10-19,discharge/débit,41.3,
01ED003,1968-10-20,discharge/débit,26.6,
01ED003,1968-10-21,discharge/débit,52.7,
01ED003,1968-10-22,discharge/débit,46.4,
01ED003,1968-10-23,discharge/débit,53.8,
01ED003,1968-10-24,discharge/débit,64.8,
01ED003,1968-10-25,discharge/débit,69.7,
01ED003,1968-10-26,discharge/débit,43.6,
01ED003,1968-10-27,discharge/débit,45.6,
01ED003,1968-10-28,discharge/débit,54.1,
01ED003,1968-10-29,discharge/débit,56.9,
01ED003,1968-10-30,discharge/débit,37.4,
01ED003,1968-10-31,discharge/débit,34.8,
01ED003,1968-11-01,discharge/débit,55.2,
01ED003,1968-11-02,discharge/débit,46.7,
01ED003,1968-11-03,discharge/débit,19.0,
01ED003,1968-11-04,discharge/débit,25.9,
01ED003,1968-11-05,discharge/débit,14.9,
01ED003,1968-11-06,discharge/débit,7.93,
01ED003,1968-11-07,discharge/débit,12.4,
01ED003,1968-11-08,discharge/débit,20.2,
01ED003,1968-11-09,discharge/débit,20.1,
01ED003,1968-11-10,discharge/débit,28.3,
01ED003,1968-11-11,discharge/débit,34.8,
01ED003,1968-11-12,discharge/débit,35.1,
01ED003,1968-11-13,discharge/débit,36.8,
01ED003,1968-11-14,discharge/débit,42.5,
01ED003,1968-11-15,discharge/débit,42.2,
01ED003,1968-11-16,discharge/débit,40.5,
01ED003,1968-11-17,discharge/débit,30.9,
01ED003,1968-11-18,discharge/débit,26.4,
01ED003,1968-11-19,discharge/débit,37.4,
01ED003,1968-11-20,discharge/débit,45.9,
01ED003,1968-11-21,discharge/débit,35.1,
01ED003,1968-11-22,discharge/débit,36.8,
01ED003,1968-11-23,discharge/débit,23.1,
01ED003,1968-11-24,discharge/débit,18.9,
01ED003,1968-11-25,discharge/débit,27.0,
01ED003,1968-11-26,discharge/débit,22.8,
01ED003,1968-11-27,discharge/débit,27.6,
01ED003,1968-11-28,discharge/débit,34.0,
01ED003,1968-11-29,discharge/débit,37.9,
01ED003,1968-11-30,discharge/débit,27.8,
01ED003,1968-12-01,discharge/débit,23.0,
01ED003,1968-12-02,discharge/débit,37.7,
01ED003,1968-12-03,discharge/débit,41.3,
01ED003,1968-12-04,discharge/débit,36.2,
01ED003,1968-12-05,discharge/débit,44.2,
01ED003,1968-12-06,discharge/débit,51.3,
01ED003,1968-12-07,discharge/débit,34.5,
01ED003,1968-12-08,discharge/débit,24.5,
01ED003,1968-12-09,discharge/débit,29.4,
01ED003,1968-12-10,discharge/débit,38.8,
01ED003,1968-12-11,discharge/débit,36.0,
01ED003,1968-12-12,discharge/débit,36.8,
01ED003,1968-12-13,discharge/débit,32.6,
01ED003,1968-12-14,discharge/débit,42.5,
01ED003,1968-12-15,discharge/débit,26.6,
01ED003,1968-12-16,discharge/débit,43.6,
01ED003,1968-12-17,discharge/débit,42.8,
01ED003,1968-12-18,discharge/débit,40.8,
01ED003,1968-12-19,discharge/débit,28.2,
